UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
334	23	55	67643	384	76738	633	102038	917	143692	1363
361	23	60	47368	373	69147	766	91219	1158	123545	1688
388	23	65	44908	485	62129	1002	66165	1236	93990	1731
415	23	70	31807	501	40834	1044	57794	1609	75849	2064
442	23	75	21956	604	30398	1229	42248	1657	48627	2115
469	23	80	15347	882	27773	2379	41939	3679	64707	6034
11	24	0	30660	1941	27829	647	28062	665	23692	368
38	24	1	109400	281	124224	100	113896	108	96861	49
65	24	5	127532	81	156023	60	144926	65	130579	44
92	24	10	127010	65	146015	54	158143	72	149689	65
119	24	15	113841	92	128481	96	154986	178	149871	226
146	24	20	76871	142	110269	175	129659	246	155051	330
173	24	25	55942	124	96507	187	106724	231	142913	324
200	24	30	51286	129	75875	188	101954	227	124136	294
227	24	35	41927	121	59040	152	93156	276	108483	344
254	24	40	37975	132	53807	200	70665	296	103637	396
281	24	45	28038	118	42149	185	55290	278	91203	450
308	24	50	29541	193	36566	251	50432	368	68712	489
335	24	55	25984	225	27034	243	37941	339	52702	494
362	24	60	20799	261	25933	323	32720	425	47273	657
389	24	65	19701	313	24722	473	23574	471	34185	670
416	24	70	13396	415	18428	563	21930	563	27411	752
443	24	75	9315	486	13527	655	17101	717	17196	759
470	24	80	6706	765	12289	1319	18794	1770	25293	2525
12	25	0	46076	5435	38155	1879	33303	1075	29449	439
39	25	1	165079	1066	160305	350	138303	142	118285	70
66	25	5	194702	187	208525	95	179961	61	160227	59
93	25	10	186143	127	203965	86	196851	72	177212	81
120	25	15	158405	187	178545	169	196360	255	177741	370
147	25	20	99178	176	132768	270	159446	338	171394	556
174	25	25	75727	213	112903	269	125733	284	160566	556
201	25	30	66797	215	88503	231	115324	334	144475	525
228	25	35	57737	248	75668	276	105085	333	124961	491
255	25	40	55409	331	68578	331	83269	338	116043	528
282	25	45	41266	282	55195	302	69832	400	102039	592
309	25	50	42488	367	50006	372	62798	467	80016	723
336	25	55	38402	447	38256	397	49873	562	66520	778
363	25	60	31316	467	36435	501	45010	627	58265	864
390	25	65	31200	676	35238	667	32462	654	44805	942
417	25	70	20074	800	27110	874	29230	796	36583	1141
444	25	75	13865	905	19995	1018	23275	1038	23062	1073
471	25	80	9755	1222	16407	1881	25863	2352	32736	3301
13	26	0	97748	11833	82609	5193	80561	2778	66758	1202
40	26	1	361989	2657	345781	744	323434	382	277508	186
67	26	5	426069	409	450020	248	405352	193	378324	94
94	26	10	400803	310	444647	263	435341	205	423568	205
121	26	15	344091	462	397918	662	441311	1001	407498	835
148	26	20	244861	597	313733	998	380942	1562	402836	1384
175	26	25	187901	641	266447	1085	309245	1253	379000	1273
202	26	30	161566	679	217510	1071	273790	1317	344709	1278
229	26	35	138939	765	181043	1027	246625	1274	301541	1181
256	26	40	131403	853	161048	1038	202276	1325	271173	1377
283	26	45	99896	888	128068	1062	165290	1408	233862	1623
310	26	50	96870	1103	113547	1271	143506	1641	191000	1663
337	26	55	81151	1196	85374	1255	111049	1789	152743	1937
364	26	60	64462	1319	79002	1589	96437	1887	128560	2248
391	26	65	55573	1548	67977	1919	70544	2019	95597	2458
418	26	70	35853	1765	49018	2178	58193	2516	73653	2856
445	26	75	23625	1752	32638	2162	41365	2586	46054	2582
472	26	80	13855	1963	26336	3514	41396	4847	56297	6160
14	27	0	34537	3847	32525	1421	33056	1170	26971	499
41	27	1	128739	735	135584	287	135967	194	110981	91
68	27	5	145219	135	173754	97	162989	86	152581	60
95	27	10	133283	100	164677	68	165671	93	170956	80
122	27	15	108682	134	143266	138	164772	228	156445	505
149	27	20	79766	223	113288	237	136670	344	140817	721
176	27	25	63968	223	92188	274	105373	297	130805	588
203	27	30	52485	238	74045	297	93617	311	117491	529
230	27	35	45205	233	63533	296	81895	352	100073	458
257	27	40	39463	321	55324	337	66955	337	91125	519
284	27	45	29807	282	43399	318	56533	419	76368	544
311	27	50	26606	320	34994	328	46978	409	62174	584
338	27	55	21730	372	26104	361	36365	460	51176	665
365	27	60	18087	445	22947	418	29004	501	41368	734
392	27	65	18905	513	19368	438	21933	515	30936	766
419	27	70	12233	586	14394	583	16494	591	21930	810
446	27	75	7292	561	10466	625	11302	634	13872	751
473	27	80	3911	501	8647	1016	13368	1271	15698	1623
15	28	0	20504	1009	18619	559	19924	611	16417	287
42	28	1	71955	211	78813	125	80166	112	69630	53
69	28	5	84211	58	100487	67	98601	51	91071	36
96	28	10	78084	57	96815	81	103217	51	105888	43
123	28	15	64718	66	83582	92	102631	161	101188	156
150	28	20	44610	94	70537	182	87647	214	98947	270
177	28	25	35465	103	57882	170	71020	203	91960	306
204	28	30	29573	129	46187	174	64614	226	81662	268
231	28	35	25019	111	38012	163	55712	252	70613	294
258	28	40	21172	153	32357	165	44734	236	64904	301
285	28	45	16800	129	25403	169	35982	257	54122	351
312	28	50	14803	144	20052	144	29953	265	42704	394
339	28	55	13285	193	15665	184	22700	297	34041	392
366	28	60	10466	172	13149	224	17755	309	27480	443
393	28	65	10840	302	11632	285	13439	341	19905	479
420	28	70	7707	361	8599	282	10258	354	14208	534
447	28	75	4683	361	6422	370	7474	448	9184	483
474	28	80	2955	389	6292	919	9079	923	11117	1272
16	29	0	169213	6673	136101	3027	133695	3498	104296	2049
43	29	1	606352	1783	598083	807	535314	514	434140	313
70	29	5	684987	434	831166	317	694091	246	606386	228
97	29	10	628735	329	813873	350	756171	299	681596	356
124	29	15	523837	469	669378	680	801385	864	668390	1579
151	29	20	396003	601	526994	915	661088	1281	647103	2156
178	29	25	303508	610	436538	1019	499997	1044	642500	2063
205	29	30	254780	624	370419	976	450126	1174	572894	1930
232	29	35	217077	713	302534	1020	403896	1303	478068	1728
259	29	40	198959	803	268061	1137	344697	1524	439416	1850
286	29	45	153193	860	211435	1122	276469	1672	378264	2248
313	29	50	139761	1071	177116	1268	232132	1875	318097	2570
340	29	55	108193	1098	134494	1407	181429	2020	252207	2764
