cod	sex	age	pop1	year1	pop2	year2	death
1602	f	40	2894	1980	4838	1991	6.43
1602	f	45	2216	1980	3846	1991	8.78
1602	f	50	1728	1980	2960	1991	11.78
1602	f	55	1044	1980	2270	1991	9.39
1602	f	60	862	1980	1756	1991	15.39
1602	f	65	971	1980	1242	1991	15.17
1602	f	70	829	1980	829	1991	33.33
1602	f	75	441	1980	652	1991	21.88
1602	f	80	215	1980	872	1991	64.27
1701	f	0	9785	1980	8506	1991	80.75
1701	f	1	35225	1980	33860	1991	22.60
1701	f	5	38860	1980	45269	1991	8.46
1701	f	10	35260	1980	45102	1991	5.01
1701	f	15	28315	1980	37307	1991	12.43
1701	f	20	21135	1980	29521	1991	10.63
1701	f	25	16885	1980	25004	1991	13.16
1701	f	30	14175	1980	20570	1991	12.45
1701	f	35	11610	1980	17614	1991	16.52
1701	f	40	10325	1980	14084	1991	19.76
1701	f	45	8070	1980	11110	1991	22.27
1701	f	50	6635	1980	9152	1991	26.69
1701	f	55	4550	1980	7405	1991	21.56
1701	f	60	3710	1980	5553	1991	27.59
1701	f	65	3415	1980	4328	1991	31.38
1701	f	70	2450	1980	2980	1991	47.24
1701	f	75	1395	1980	2115	1991	50.26
1701	f	80	650	1980	1902	1991	74.37
1702	f	0	4194	1980	3813	1991	33.72
1702	f	1	15099	1980	15265	1991	9.39
1702	f	5	16653	1980	19302	1991	3.55
1702	f	10	15114	1980	17860	1991	2.00
1702	f	15	12138	1980	13477	1991	4.63
1702	f	20	9060	1980	10627	1991	3.92
1702	f	25	7236	1980	9171	1991	4.90
1702	f	30	6075	1980	7722	1991	4.60
1702	f	35	4977	1980	6605	1991	6.05
1702	f	40	4425	1980	5284	1991	7.31
1702	f	45	3459	1980	4502	1991	8.78
1702	f	50	2844	1980	3723	1991	10.36
1702	f	55	1950	1980	2849	1991	8.02
1702	f	60	1590	1980	2314	1991	10.46
1702	f	65	1464	1980	1795	1991	12.17
1702	f	70	1050	1980	1362	1991	19.73
1702	f	75	597	1980	965	1991	20.69
1702	f	80	279	1980	977	1991	33.24
2101	f	0	26882	1980	23842	1991	278.28
2101	f	1	93281	1980	102641	1991	94.66
2101	f	5	101947	1980	131900	1991	32.62
2101	f	10	95276	1980	122347	1991	27.22
2101	f	15	84862	1980	102917	1991	43.92
2101	f	20	65404	1980	84474	1991	57.41
2101	f	25	50965	1980	69107	1991	49.19
2101	f	30	38842	1980	56932	1991	56.21
2101	f	35	34604	1980	47602	1991	62.85
2101	f	40	30272	1980	37116	1991	68.54
2101	f	45	23206	1980	29611	1991	69.61
2101	f	50	19121	1980	24974	1991	80.54
2101	f	55	14809	1980	21195	1991	95.89
2101	f	60	12478	1980	17073	1991	92.45
2101	f	65	11779	1980	14678	1991	126.67
2101	f	70	8803	1980	10419	1991	171.32
2101	f	75	5484	1980	6789	1991	193.47
2101	f	80	3265	1980	7188	1991	409.10
2102	f	0	15645	1980	15782	1991	110.76
2102	f	1	52383	1980	64806	1991	36.35
2102	f	5	53917	1980	84972	1991	11.88
2102	f	10	47289	1980	77987	1991	9.54
2102	f	15	38548	1980	59018	1991	13.93
2102	f	20	31276	1980	45288	1991	18.04
2102	f	25	25755	1980	37404	1991	15.95
2102	f	30	21670	1980	31955	1991	19.08
2102	f	35	18560	1980	27379	1991	21.49
2102	f	40	15483	1980	22956	1991	23.73
2102	f	45	11268	1980	18340	1991	23.70
2102	f	50	8893	1980	14507	1991	25.75
2102	f	55	6300	1980	11549	1991	28.42
2102	f	60	5113	1980	8442	1991	25.34
2102	f	65	4525	1980	7307	1991	34.26
2102	f	70	2910	1980	4978	1991	42.71
2102	f	75	1679	1980	3475	1991	48.74
2102	f	80	826	1980	2688	1991	79.63
2103	f	0	14899	1980	11909	1991	48.38
2103	f	1	50639	1980	46840	1991	15.42
2103	f	5	53255	1980	61360	1991	5.68
2103	f	10	48490	1980	56584	1991	4.71
2103	f	15	41433	1980	42084	1991	6.97
2103	f	20	31793	1980	32006	1991	8.65
2103	f	25	25466	1980	26792	1991	7.61
2103	f	30	20736	1980	22355	1991	9.17
2103	f	35	18236	1980	20138	1991	10.59
2103	f	40	15847	1980	17088	1991	12.40
2103	f	45	11713	1980	13963	1991	12.39
2103	f	50	9778	1980	11877	1991	15.03
2103	f	55	6921	1980	9422	1991	16.89
2103	f	60	6006	1980	7522	1991	16.38
2103	f	65	4990	1980	6736	1991	21.90
2103	f	70	3318	1980	4979	1991	30.04
2103	f	75	2157	1980	3441	1991	34.38
2103	f	80	861	1980	2632	1991	58.21
2104	f	0	18945	1980	15854	1991	88.70
2104	f	1	62316	1980	63031	1991	28.10
2104	f	5	66704	1980	78990	1991	9.89
2104	f	10	60737	1980	72355	1991	8.14
2104	f	15	51830	1980	53500	1991	12.00
2104	f	20	40073	1980	40865	1991	15.03
2104	f	25	32158	1980	35974	1991	13.63
2104	f	30	25988	1980	30181	1991	16.28
2104	f	35	23170	1980	27085	1991	18.92
2104	f	40	20240	1980	23061	1991	22.03
2104	f	45	15857	1980	18490	1991	22.32
2104	f	50	12402	1980	16142	1991	26.63
2104	f	55	9564	1980	13533	1991	31.69
2104	f	60	8047	1980	10576	1991	29.99
2104	f	65	8495	1980	9030	1991	41.61
2104	f	70	5706	1980	6909	1991	57.66
2104	f	75	3714	1980	5072	1991	70.14
2104	f	80	1893	1980	4541	1991	134.40
2105	f	0	3263	1980	3400	1991	14.61
2105	f	1	11360	1980	13631	1991	4.72
2105	f	5	12182	1980	17209	1991	1.77
2105	f	10	11493	1980	15393	1991	1.46
2105	f	15	9411	1980	11429	1991	2.12
2105	f	20	7094	1980	8863	1991	2.65
2105	f	25	5529	1980	7534	1991	2.33
2105	f	30	4717	1980	6421	1991	2.92
2105	f	35	4003	1980	5564	1991	3.24
2105	f	40	3580	1980	4663	1991	3.81
2105	f	45	2851	1980	3760	1991	3.84
2105	f	50	2392	1980	3306	1991	4.80
2105	f	55	1699	1980	2723	1991	5.57
2105	f	60	1485	1980	2150	1991	5.37
2105	f	65	1646	1980	1715	1991	7.03
2105	f	70	1034	1980	1297	1991	9.59
2105	f	75	650	1980	979	1991	11.72
2105	f	80	345	1980	796	1991	21.54
2201	f	0	8564	1980	7182	1991	94.66
2201	f	1	30736	1980	30218	1991	24.45
2201	f	5	34169	1980	38211	1991	7.71
2201	f	10	32304	1980	36048	1991	5.77
2201	f	15	26960	1980	29163	1991	9.20
2201	f	20	18899	1980	21944	1991	8.50
2201	f	25	15204	1980	18353	1991	13.64
2201	f	30	12399	1980	14972	1991	10.91
2201	f	35	10692	1980	13570	1991	14.14
2201	f	40	9365	1980	11873	1991	15.78
2201	f	45	7856	1980	9672	1991	19.95
2201	f	50	6471	1980	8231	1991	19.78
2201	f	55	4794	1980	7314	1991	22.30
2201	f	60	3965	1980	5988	1991	28.50
2201	f	65	3599	1980	4604	1991	35.93
2201	f	70	2581	1980	3343	1991	46.31
2201	f	75	1805	1980	2512	1991	58.67
2201	f	80	1379	1980	2458	1991	125.07
2202	f	0	15909	1980	13461	1991	230.91
2202	f	1	57696	1980	59316	1991	60.85
2202	f	5	62801	1980	78426	1991	18.36
2202	f	10	61472	1980	79720	1991	14.23
2202	f	15	58528	1980	71898	1991	26.02
2202	f	20	45119	1980	57793	1991	26.01
2202	f	25	33950	1980	49623	1991	40.35
2202	f	30	26834	1980	41121	1991	31.46
2202	f	35	21390	1980	34225	1991	37.58
2202	f	40	19432	1980	27893	1991	41.63
2202	f	45	15298	1980	21475	1991	48.00
2202	f	50	13102	1980	18297	1991	48.54
